entry_type,title,author,year,journal,booktitle,volume,number,pages,publisher,doi,url,abstract,address,articleno,isbn,issn,issue_date,keywords,location,note,numpages,series
article,Understanding Our Robots With the Help of Human-Centered Explainable AI,"Sanneman, Lindsay",2023,XRDS,,30,1,52?€?57,Association for Computing Machinery,10.1145/3611686,https://doi.org/10.1145/3611686,Insights from the field of human factors can help us design human-centered explanations that enable effective human-robot interaction. Studying explanation techniques according to these human factors will be critical in understanding their efficacy across diverse contexts.,"New York, NY, USA",,,1528-4972,Fall 2023,,,,6,
inproceedings,Understanding Preferred Robot Reaction Times for Human-Robot Handovers Supported by a Deep Learning System,"Leusmann, Jan and Felder, Ludwig and Wang, Chao and Mayer, Sven",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,4?€?13,IEEE Press,,,"Human-human handovers are natural and seamless. To be able to do this, humans optimize towards many factors. One of them is the timing when receiving an object. However, the preferred robot reaction time in Human-Robot handovers is currently unclear. To understand the preferred robot reaction time, we trained a Space-Time-Separable Graph Convolutional Network (STS-GCN) model using motion capture data of human-human handovers. We deployed this system on a robotic arm with live depth camera data. We conducted a user study (N=20) with five robot reaction times. We found that users perceived an early prediction as preferred. Furthermore, we found that designers can adapt this timing to their needs based on six sub-components of user perception. We contribute a ready-to-deploy handover classification model, a preferred handover time for our system, and an approach to determine the preferred robot reaction time for robotic systems.",,,,,,"cobot, handover, human-robot interaction, human-to-robot handover, preferred timing, robot","Melbourne, Australia",,10,HRI '25
inproceedings,3rd Workshop on Explainability in Human-Robot Collaboration: Real-World Concerns,"Yadollahi, Elmira and Dogan, Fethiye Irmak and Romeo, Marta and Kontogiorgos, Dimosthenis and Qian, Peizhu and Zhang, Yan",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1994?€?1996,IEEE Press,,,"Robots powered by AI and machine learning are increasingly capable of collaboration and social interaction with humans, leading to a demand to develop new approaches to ensure their transparency and explainable behaviour. As explainable AI (XAI) seeks to clarify AI decisions, its integration into physical robots often creates an illusion of explainability-raising questions about whether current approaches truly enhance understanding. The 3rd Workshop on Explainability in Human-Robot Collaboration aims to address the real-world concerns associated with developing explainable and transparent robots through a focused, multi-faceted panel discussion and a series of paper presentations. In this workshop, we will focus on refining when and how explanations should be provided, integrating human communication principles to enhance trust and transparency in human-robot collaboration through both technical and user-centred solutions.",,,,,,"explainable robotics, human-centered robot explanations, xai","Melbourne, Australia",,3,HRI '25
inproceedings,Personalised Explainable Robots Using LLMs,Gebell\'{\i,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1304?€?1308,IEEE Press,,,"In the field of Human-Robot Interaction (HRI), a key challenge lies in enabling humans to comprehend the decisions and behaviours of robots. One promising approach involves leveraging Theory of Mind (ToM) frameworks, wherein a robot estimates the mental model that a user holds about its functioning and compares this with the representation of its internal mental model. This comparison allows the robot to identify potential mismatches and generate communicative actions to bridge such gaps. Effective communication requires the robot to maintain unique mental models for each user and personalise explanations based on past interactions. To address this, we propose an architecture grounded in Large Language Models (LLMs) that operationalises this theoretical framework. We demonstrate the feasibility of this approach through qualitative examples, showcasing responses provided by a robot patrolling a geriatric hospital.",,,,,,"explainability, llm, personalisation, xhri","Melbourne, Australia",,5,HRI '25
inproceedings,Evaluation of a Robot Navigator's Explanations,"Korpan, Raj and Tiourine, Daniel and Chen, Sami and Epstein, Susan L.",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1428?€?1432,IEEE Press,,,"To achieve trust and acceptance from people, robots that navigate complex human environments should be able to explain their behavior. In an online between-subjects study, this paper explores the impact of explanation detail on human understanding, trust, and comfort with robot navigators. It compares three conditions: no textual information, a simple action description, and a detailed explanation. Results indicate that while detailed explanations improve users' confidence in the robot's navigation ability, simpler descriptions are easier to understand. Participants who received detailed explanations, however, also indicated a better overall understanding of the robot's behavior and decision-making process. These findings highlight how varied levels of detail in explanations can build trust and comprehension.",,,,,,"explainable ai, explainable robotics, robot communication, robot navigation","Melbourne, Australia",,5,HRI '25
inproceedings,Explainable Guidance and Justification for Mental Model Alignment in Human-Robot Teams,"Luebbers, Matthew B. and Hayes, Bradley",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,118?€?120,Association for Computing Machinery,10.1145/3610978.3638364,https://doi.org/10.1145/3610978.3638364,"There is potential for humans and autonomous robots to perform tasks collaboratively as teammates, achieving greater performance than either could on their own. Productive teamwork, however, requires a great deal of coordination, with human and robot agents maintaining well-aligned mental models regarding the shared task and each agent's role within it. Achieving this requires live and effective communication, especially as plans change due to shifts in environment knowledge. Our work leverages augmented reality and natural language interfaces to recommend policies to human teammates, explain the rationale of those policies, and justify during times of mismatched expectation, facilitating plan synchronization in partially observable, collaborative human-robot domains.","New York, NY, USA",,9.7984E+12,,,"augmented reality, human-robot teaming, mental models","Boulder, CO, USA",,3,HRI '24
inproceedings,Questioning the Robot: Using Human Non-verbal Cues to Estimate the Need for Explanations,"Kontogiorgos, Dimosthenis and Shah, Julie",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,717?€?728,IEEE Press,,,"As black-box AI systems become increasingly complex, understanding when and how to provide explanations to users is crucial. Multimodal signals, such as facial expressions, offer novel insights into how frequently explanations should be given. This paper explores whether users' facial features can help estimate the need for explanations in a collaborative robot task. We applied three state-of-the-art eXplainable AI (XAI) methods, addressing how, why, and what-if questions, explaining the robot's failure detection model. Each explanation type conveyed information differently: how-explanations described how the model functions, why-explanations provided personalised insights into input-feature-related cues, and what-if-explanations explored alternative scenarios. In a mixed-design study (N = 33), participants performed a robot-assisted pick-and-place task, receiving different explanation types. Our results show that users responded differently to these explanations, with why-explanations being the most preferred and prompting closer alignment in facial expressions with the robot. Contrary to expectations, what-if explanations led to the least alignment and required greater vocal effort. These findings demonstrate how non-verbal cues can guide the frequency and type of explanations (personalised or general) and further highlight the importance of model transparency in human-robot collaboration.",,,,,,"explainability, failure detection, multimodality","Melbourne, Australia",,12,HRI '25
article,Explainable Goal-driven Agents and Robots - A Comprehensive Review,"Sado, Fatai and Loo, Chu Kiong and Liew, Wei Shiung and Kerzel, Matthias and Wermter, Stefan",2023,ACM Comput. Surv.,,55,10,,Association for Computing Machinery,10.1145/3564240,https://doi.org/10.1145/3564240,"Recent applications of autonomous agents and robots have brought attention to crucial trust-related challenges associated with the current generation of artificial intelligence (AI) systems. AI systems based on the connectionist deep learning neural network approach lack capabilities of explaining their decisions and actions to others, despite their great successes. Without symbolic interpretation capabilities, they are ?€?black boxes?€?, which renders their choices or actions opaque, making it difficult to trust them in safety-critical applications. The recent stance on the explainability of AI systems has witnessed several approaches to eXplainable Artificial Intelligence (XAI); however, most of the studies have focused on data-driven XAI systems applied in computational sciences. Studies addressing the increasingly pervasive goal-driven agents and robots are sparse at this point in time. This paper reviews approaches on explainable goal-driven intelligent agents and robots, focusing on techniques for explaining and communicating agents?€? perceptual functions (e.g., senses, vision) and cognitive reasoning (e.g., beliefs, desires, intentions, plans, and goals) with humans in the loop. The review highlights key strategies that emphasize transparency, understandability, and continual learning for explainability. Finally, the paper presents requirements for explainability and suggests a road map for the possible realization of effective goal-driven explainable agents and robots.","New York, NY, USA",211,,0360-0300,Oct-23,"Accountability, continual learning, deep neural network, explainability, explainable AI, goal-driven agents, transparency",,,41,
inproceedings,Toward Explainable Agent Behaviour,"Gimenez-Abalos, Victor",2024,,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,,2740?€?2742,International Foundation for Autonomous Agents and Multiagent Systems,,,"Agents are a special kind of AI-based software in that they interact in complex environments and have increased potential for emergent behaviour, even in isolation. Explaining such behaviour is key to deploying trustworthy AI, but the increasing complexity and opaqueness of agents makes this hard. Beyond narrow-task and instant-based goals, agents may exhibit durative behaviour and be required to have planning or deliberative capabilities, or even to reason over other's behaviours. This precludes machine learning explainability -i.e. explanations over single predictions or actions- from giving complete and useful explanations. There is a need for extending explainability tools. We split the capabilities of agents into several levels, each more abstract, and produce explanations by climbing these levels: from actions, tellic (ends), deliberation, and more. The first two have been solved through frequentist models (Policy-Graphs), and the third is work in progress. We intend to extend this work by adding components for explaining epistemology, agent-agent interaction, norms and values.","Richland, SC",,9.7984E+12,,,"deliberation, desires, explainability, intention inference, multi-agent systems, planning, theory of mind, values alignment","Auckland, New Zealand",,3,AAMAS '24
inproceedings,Towards Multimodal Co-Construction of Explanations for Robots: Combining Inductive Logic Programming and Large Language Models to Explain Robot Faults,"Youssef, Youssef Mahmoud and Hassan, Teena",2024,,Companion Proceedings of the 26th International Conference on Multimodal Interaction,,,228?€?230,Association for Computing Machinery,10.1145/3686215.3689204,https://doi.org/10.1145/3686215.3689204,"This paper explores a hybrid approach to the multimodal co-const-ruction of explanations for robot faults, integrating Inductive Logic Programming (ILP) and Large Language Models (LLMs). As AI and robotics continue to permeate various aspects of daily life, the ability of these systems to explain their actions and failures is crucial for fostering user trust and ensuring safe interactions. We propose a framework that combines the interpretability of ILP, which generates logical rules from data, with the linguistic capabilities of LLMs, which provide natural language explanations. This approach enables the generation of coherent, contextually appropriate explanations that can be tailored to the needs of users.","New York, NY, USA",,9.7984E+12,,,"Co-construc-ting Explanations, In-context Learning, Inductive Logic Programming, Large Language Models","San Jose, Costa Rica",,3,ICMI Companion '24
inproceedings,Understanding On-the-Fly End-User Robot Programming,"Stegner, Laura and Hwang, Yuna and Porfirio, David and Mutlu, Bilge",2024,,Proceedings of the 2024 ACM Designing Interactive Systems Conference,,,2468?€?2480,Association for Computing Machinery,10.1145/3643834.3660721,https://doi.org/10.1145/3643834.3660721,"Novel end-user programming (EUP) tools enable on-the-fly (i.e., spontaneous, easy, and rapid) creation of interactions with robotic systems. These tools are expected to empower users in determining system behavior, although very little is understood about how end users perceive, experience, and use these systems. In this paper, we seek to address this gap by investigating end-user experience with on-the-fly robot EUP. We trained 21 end users to use an existing on-the-fly EUP tool, asked them to create robot interactions for four scenarios, and assessed their overall experience. Our findings provide insight into how these systems should be designed to better support end-user experience with on-the-fly EUP, focusing on user interaction with an automatic program synthesizer that resolves imprecise user input, the use of multimodal inputs to express user intent, and the general process of programming a robot.","New York, NY, USA",,9.7984E+12,,,"End-user Programming, Programming Tools, Robot Programming, Service Robots, Usage Patterns, User Experience, User Study","Copenhagen, Denmark",,13,DIS '24
inproceedings,Towards Explainable Proactive Robot Interactions for Groups of People in Unstructured Environments,"Love, Tamlin and Andriella, Antonio and Aleny\`{a",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,697?€?701,Association for Computing Machinery,10.1145/3610978.3640734,https://doi.org/10.1145/3610978.3640734,"For social robots to be able to operate in unstructured public spaces, they need to be able to gauge complex factors such as human-robot engagement and inter-person social groups, and be able to decide how and with whom to interact. Additionally, such robots should be able to explain their decisions after the fact, to improve accountability and confidence in their behavior. To address this, we present a two-layered proactive system that extracts high-level social features from low-level perceptions and uses these features to make high-level decisions regarding the initiation and maintenance of human robot interactions. With this system outlined, the primary focus of this work is then a novel method to generate counterfactual explanations in response to a variety of contrastive queries. We provide an early proof of concept to illustrate how these explanations can be generated by leveraging the two-layer system.","New York, NY, USA",,9.7984E+12,,,"engagement, explainability, human-robot interaction, proactive decision-making","Boulder, CO, USA",,5,HRI '24
inproceedings,Adapting Robotic Explanations for Robotic Failures in Human Robot Collaboration,"Khanna, Parag",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1863?€?1865,IEEE Press,,,"My research focuses on adapting robotic failure explanations to enhance human-robot collaboration (HRC). I examine how different explanation types and explanation progression strategies impact failure resolution and user satisfaction by conducting a user study with multiple interaction rounds featuring repeated robotic failures and varying explanations. I also created a novel multimodal dataset of human responses to these failures and explanations. By analyzing human behavioral responses, I developed a predictor to anticipate user confusion following a specific robotic explanation at a robotic failure. This predictor enables an adaptive mechanism to dynamically adjust explanations based on user needs, fostering efficient and natural collaboration. This research aims to significantly improve overall user experience in HRC, making collaborations with robots smoother and more intuitive even when failures occur.",,,,,,"hrc, robotic failures and explanations","Melbourne, Australia",,3,HRI '25
inproceedings,A Theoretical Integration of Robot Explanations: From Mechanical and Teleological to Emotional Explanations,"Terada, Kazunori",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1675?€?1679,IEEE Press,,,"In human-robot collaboration, effective communication of robot intentions and actions is crucial for safety and efficiency. While various explanation methods have been proposed, a unified framework integrating different explanation approaches from a theoretical perspective remains a challenge. This paper presents a three-style framework that formally integrates mechanical, teleological, and emotional explanations for robot actions. Building upon traditional mechanical explanations describing causal chains and teleological explanations focusing on goals, we formalized emotional explanations based on utility changes, grounded in Appraisal theory. These three complementary styles were unified through a common mathematical foundation of state transitions and utility functions, enabling systematic selection and integration of explanations according to the situation. We provide guidelines for selecting appropriate explanation styles based on task phases and explanatory purposes, while discussing implementation challenges and future directions including personalization and real-time adaptation mechanisms.",,,,,,"appraisal theory, emotional explanation, explainable robot, human-robot interaction, mechanical explanation, teleological explanation","Melbourne, Australia",,5,HRI '25
inproceedings,Difficulties in Perceiving and Understanding Robot Reliability Changes in a Sequential Binary Task,"Furuya, Hiroshi and Battistel, Laura and Datta Choudhary, Zubin and Gottsacker, Matt and Bruder, Gerd and Welch, Gregory F",2024,,Proceedings of the 2024 ACM Symposium on Spatial User Interaction,,,,Association for Computing Machinery,10.1145/3677386.3682083,https://doi.org/10.1145/3677386.3682083,"Human-robot teams push the boundaries of what both humans and robots can accomplish. In order for the team to function well, the human must accurately assess the robot?€?s capabilities to calibrate the trust between the human and robot. In this paper, we use virtual reality (VR), a widely accepted tool in studying human-robot interaction (HRI), to study human behaviors affecting their detection and understanding of changes in a simulated robot?€?s reliability. We present a human-subject study to see how different reliability change factors may affect this process. Our results demonstrate that participants make judgements about robot reliability before they have accumulated sufficient evidence to make objectively high-confidence inferences about robot reliability. We show that this reliability change observation behavior diverges from behavior expectations based on the probability distribution functions used to describe observation outcomes.","New York, NY, USA",22,9.7984E+12,,,"Human-robot interaction, reliability, trust, virtual reality","Trier, Germany",,11,SUI '24
inproceedings,"Rube-Goldberg Machines, Transparent Technology, and the Morally Competent Robot","Mott, Terran and Williams, Tom",2023,,Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,,,634?€?638,Association for Computing Machinery,10.1145/3568294.3580163,https://doi.org/10.1145/3568294.3580163,"Social robots of the future will need to perceive, reason about, and respond appropriately to ethically sensitive situations. At the same time, policymakers and researchers alike are advocating for increased transparency and explainability in robotics-design principles that help users build accurate mental models and calibrate trust. In this short paper, we consider how Rube Goldberg machines might offer a strong analogy on which to build transparent user interfaces for the intricate, but knowable inner workings of a cognitive architecture's moral reasoning. We present a discussion of these related concepts, a rationale for the suitability of this analogy, and early designs for an initial prototype visualization.","New York, NY, USA",,9.78145E+12,,,"cognitive architectures, robot ethics, transparency","Stockholm, Sweden",,5,HRI '23
